"Actual investments by state, technology, and quarter (2023 million USD)"

version:,2024_Q4.20250218.0
created:,Tue Feb 18 16:00:32 2025 (MST)

Segment,State,Technology,Subcategory,quarter,Estimated_Actual_Quarterly_Expenditure,Decarb_Sector
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q1,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q2,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q3,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2018-Q4,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q1,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q2,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q3,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2019-Q4,0.404555,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2020-Q2,0.404555,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2020-Q3,1.213665,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2020-Q4,0.404555,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2023-Q2,1.893318,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2023-Q3,2.839977,Power
Energy and Industry,AK,Other,Conventional Hydroelectric,2023-Q4,0.946659,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2019-Q4,0.173986,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2020-Q1,0.521958,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2020-Q2,0.521958,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2022-Q4,0.191169,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2023-Q1,4.396897,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2023-Q2,4.396897,Power
Energy and Industry,AK,Solar,Solar Photovoltaic,2023-Q3,1.274463,Power
Energy and Industry,AK,Storage,Batteries,2019-Q2,2.187906,Power
Energy and Industry,AK,Storage,Batteries,2020-Q3,5.802787,Power
Energy and Industry,AK,Storage,Batteries,2020-Q4,17.408361,Power
Energy and Industry,AK,Storage,Batteries,2021-Q1,17.408361,Power
Energy and Industry,AK,Storage,Batteries,2021-Q2,17.408361,Power
Energy and Industry,AK,Storage,Batteries,2021-Q3,17.408361,Power
Energy and Industry,AK,Storage,Batteries,2021-Q4,17.408361,Power
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2022-Q3,0.339928,Industry
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2022-Q4,0.694965,Industry
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2023-Q1,0.679857,Industry
Energy and Industry,AL,Cement,"Alt Cement, CO2 Injection",2023-Q2,0.355036,Industry
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q1,33.259331,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q2,33.259331,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q3,33.259331,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2018-Q4,33.259331,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2021-Q2,7.325043,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2021-Q3,21.975129,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2021-Q4,21.975129,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q1,21.975129,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q2,21.975129,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q3,21.975129,Power
Energy and Industry,AL,Other,Wood/Wood Waste Biomass,2022-Q4,21.975129,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2018-Q3,8.583093,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2018-Q4,17.166186,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2020-Q2,23.245358,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2020-Q3,69.736075,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2020-Q4,69.736075,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q1,69.736075,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q2,69.736075,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q3,17.492629,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2021-Q4,26.238943,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q1,43.231783,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q2,51.728203,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q3,51.728203,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2022-Q4,51.728203,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2023-Q1,25.489259,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2023-Q4,13.228230,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q1,19.842345,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q2,13.228230,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q3,9.971473,Power
Energy and Industry,AL,Solar,Solar Photovoltaic,2024-Q4,144.232457,Power
Energy and Industry,AR,Carbon Management,Storage,2023-Q2,0.036059,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2023-Q3,3.317428,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2023-Q4,3.317428,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2024-Q1,3.281369,Carbon Removal
Energy and Industry,AR,Carbon Management,Storage,2024-Q2,0.396649,Carbon Removal
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q1,1.751652,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q2,1.501416,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q3,0.500472,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2018-Q4,0.439585,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q1,0.659377,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q2,9.099405,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q3,9.143364,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2019-Q4,36.537588,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q1,53.029528,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q2,53.926281,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q3,19.931800,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2020-Q4,15.393589,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q1,40.069172,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q2,40.445073,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q3,39.057901,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2021-Q4,29.877189,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q1,23.699019,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q2,29.175609,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q3,24.926996,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2022-Q4,55.599072,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q1,183.945314,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q2,193.609271,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q3,454.568571,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2023-Q4,224.949869,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q1,304.056951,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q2,399.559161,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q3,518.559646,Power
Energy and Industry,AR,Solar,Solar Photovoltaic,2024-Q4,108.217189,Power
Energy and Industry,AR,Storage,Batteries,2019-Q2,13.127434,Power
Energy and Industry,AR,Storage,Batteries,2019-Q3,13.127434,Power
Energy and Industry,AR,Storage,Batteries,2020-Q4,1.663882,Power
Energy and Industry,AR,Storage,Batteries,2021-Q1,4.991645,Power
Energy and Industry,AR,Storage,Batteries,2021-Q2,4.991645,Power
Energy and Industry,AR,Storage,Batteries,2021-Q3,4.991645,Power
Energy and Industry,AR,Storage,Batteries,2021-Q4,3.327763,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2024-Q2,37.479259,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2024-Q3,56.218889,Power
Energy and Industry,AR,Wind,Onshore Wind Turbine,2024-Q4,88.219479,Power
Energy and Industry,AZ,Cement,"Alt Cement, CO2 Injection",2023-Q1,0.508964,Industry
Energy and Industry,AZ,Cement,"Alt Cement, CO2 Injection",2023-Q2,0.514619,Industry
Energy and Industry,AZ,Cement,"Alt Cement, CO2 Injection",2023-Q3,0.520274,Industry
Energy and Industry,AZ,Cement,"Alt Cement, CO2 Injection",2023-Q4,0.520274,Industry
Energy and Industry,AZ,Cement,"Alt Cement, CO2 Injection",2024-Q1,0.005655,Industry
Energy and Industry,AZ,SAF,PtL,2021-Q4,0.472168,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q1,0.461903,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q2,0.467035,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q3,0.472168,Transport
Energy and Industry,AZ,SAF,PtL,2022-Q4,0.343861,Transport
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q1,72.328340,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q2,21.967689,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q3,1.036069,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2018-Q4,1.340734,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q1,19.319751,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q2,134.453327,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q3,193.740254,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2019-Q4,238.063798,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2020-Q1,2.000841,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2020-Q3,160.440007,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2020-Q4,334.748588,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q1,144.412369,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q2,48.468860,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q3,39.422491,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2021-Q4,44.214117,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q1,46.210560,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q2,45.520850,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q3,74.974366,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2022-Q4,83.302675,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q1,114.039694,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q2,403.151618,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q3,882.380060,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2023-Q4,809.813284,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q1,548.911789,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q2,590.075827,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q3,441.055709,Power
Energy and Industry,AZ,Solar,Solar Photovoltaic,2024-Q4,543.467978,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q1,8.286675,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q2,0.920742,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q3,8.751623,Power
Energy and Industry,AZ,Storage,Batteries,2018-Q4,13.127434,Power
Energy and Industry,AZ,Storage,Batteries,2020-Q2,5.329371,Power
Energy and Industry,AZ,Storage,Batteries,2020-Q3,15.988112,Power
Energy and Industry,AZ,Storage,Batteries,2020-Q4,20.429255,Power
Energy and Industry,AZ,Storage,Batteries,2021-Q1,29.311539,Power
Energy and Industry,AZ,Storage,Batteries,2021-Q2,13.323427,Power
Energy and Industry,AZ,Storage,Batteries,2021-Q3,13.323427,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q1,8.553732,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q2,10.550390,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q3,175.981636,Power
Energy and Industry,AZ,Storage,Batteries,2022-Q4,433.408542,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q1,461.346923,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q2,403.084565,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q3,694.864799,Power
Energy and Industry,AZ,Storage,Batteries,2023-Q4,685.072775,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q1,712.771555,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q2,825.328654,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q3,915.419911,Power
Energy and Industry,AZ,Storage,Batteries,2024-Q4,1205.037879,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2020-Q3,293.678647,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2020-Q4,195.785765,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2022-Q2,71.040758,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2022-Q3,106.561138,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2022-Q4,106.561138,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q1,148.715803,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q2,168.066162,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q3,132.545783,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2023-Q4,132.545783,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2024-Q1,132.545783,Power
Energy and Industry,AZ,Wind,Onshore Wind Turbine,2024-Q2,42.154665,Power
Energy and Industry,CA,Carbon Management,Direct Air Capture,2022-Q2,0.366050,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2022-Q3,0.370073,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2022-Q4,7.515764,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2023-Q1,7.754122,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2023-Q2,11.311365,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2023-Q3,15.991230,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2023-Q4,13.050644,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2024-Q1,1.257464,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2024-Q2,4.577170,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2024-Q3,4.627469,Carbon Removal
Energy and Industry,CA,Carbon Management,Direct Air Capture,2024-Q4,4.627469,Carbon Removal
Energy and Industry,CA,Carbon Management,Power,2023-Q2,1.280892,Power
Energy and Industry,CA,Carbon Management,Power,2023-Q3,117.842099,Power
Energy and Industry,CA,Carbon Management,Power,2023-Q4,117.842099,Power
Energy and Industry,CA,Carbon Management,Power,2024-Q1,118.060994,Power
Energy and Industry,CA,Carbon Management,Power,2024-Q2,253.041902,Power
Energy and Industry,CA,Carbon Management,Power,2024-Q3,255.822582,Power
Energy and Industry,CA,Carbon Management,Power,2024-Q4,255.822582,Power
Energy and Industry,CA,Cement,CCS + Alt Cement,2022-Q1,17.965976,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2022-Q2,18.165598,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2022-Q3,18.365220,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2022-Q4,18.365220,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2023-Q1,17.965976,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2023-Q2,18.165598,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2023-Q3,18.365220,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2023-Q4,18.365220,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2024-Q1,18.165598,Industry
Energy and Industry,CA,Cement,CCS + Alt Cement,2024-Q2,2.395464,Industry
Energy and Industry,CA,Hydrogen,Biomass,2019-Q1,0.097565,Industry
Energy and Industry,CA,Hydrogen,Biomass,2019-Q2,0.286400,Industry
Energy and Industry,CA,Hydrogen,Biomass,2019-Q3,0.289547,Industry
Energy and Industry,CA,Hydrogen,Biomass,2019-Q4,0.289547,Industry
Energy and Industry,CA,Hydrogen,Biomass,2020-Q1,0.286400,Industry
Energy and Industry,CA,Hydrogen,Biomass,2020-Q2,0.286400,Industry
Energy and Industry,CA,Hydrogen,Biomass,2020-Q3,0.289547,Industry
Energy and Industry,CA,Hydrogen,Biomass,2020-Q4,0.289547,Industry
Energy and Industry,CA,Hydrogen,Biomass,2021-Q1,0.283252,Industry
Energy and Industry,CA,Hydrogen,Biomass,2021-Q2,0.286400,Industry
Energy and Industry,CA,Hydrogen,Biomass,2021-Q3,0.295139,Industry
Energy and Industry,CA,Hydrogen,Biomass,2021-Q4,0.804060,Industry
Energy and Industry,CA,Hydrogen,Biomass,2022-Q1,0.786581,Industry
Energy and Industry,CA,Hydrogen,Biomass,2022-Q2,0.795321,Industry
Energy and Industry,CA,Hydrogen,Biomass,2022-Q3,0.401398,Industry
Energy and Industry,CA,Hydrogen,Biomass,2022-Q4,0.289547,Industry
Energy and Industry,CA,Hydrogen,Biomass,2023-Q1,0.283252,Industry
Energy and Industry,CA,Hydrogen,Biomass,2023-Q2,0.286400,Industry
Energy and Industry,CA,Hydrogen,Biomass,2023-Q3,0.217160,Industry
Energy and Industry,CA,Hydrogen,PEM,2023-Q1,3.557445,Industry
Energy and Industry,CA,Hydrogen,PEM,2023-Q2,8.279145,Industry
Energy and Industry,CA,Hydrogen,PEM,2023-Q3,3.570381,Industry
Energy and Industry,CA,Hydrogen,PEM,2023-Q4,3.570381,Industry
Energy and Industry,CA,Hydrogen,PEM,2024-Q1,3.531573,Industry
Energy and Industry,CA,Hydrogen,PEM,2024-Q2,5.324757,Industry
Energy and Industry,CA,Hydrogen,PEM,2024-Q3,6.231235,Industry
Energy and Industry,CA,Hydrogen,PEM,2024-Q4,8.889962,Industry
Energy and Industry,CA,Hydrogen,SOEC,2023-Q2,2.264626,Industry
Energy and Industry,CA,Other,Conventional Hydroelectric,2018-Q1,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2018-Q2,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2018-Q3,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2018-Q4,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2019-Q1,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2019-Q2,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2019-Q3,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2019-Q4,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2020-Q1,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2020-Q2,0.730280,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2020-Q3,0.486853,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2021-Q1,0.075132,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2021-Q2,0.225395,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2021-Q3,0.225395,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2021-Q4,0.225395,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2022-Q1,0.958843,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2022-Q2,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2022-Q3,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2022-Q4,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2023-Q1,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2023-Q2,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2023-Q3,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2023-Q4,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2024-Q1,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2024-Q2,1.325566,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2024-Q3,1.250435,Power
Energy and Industry,CA,Other,Conventional Hydroelectric,2024-Q4,1.100171,Power
Energy and Industry,CA,Other,Geothermal,2019-Q4,38.678171,Power
Energy and Industry,CA,Other,Geothermal,2020-Q1,38.678171,Power
Energy and Industry,CA,Other,Geothermal,2021-Q3,79.665846,Power
Energy and Industry,CA,Other,Geothermal,2021-Q4,79.665846,Power
Energy and Industry,CA,Other,Geothermal,2022-Q1,79.665846,Power
Energy and Industry,CA,Other,Geothermal,2022-Q2,146.313224,Power
Energy and Industry,CA,Other,Geothermal,2022-Q3,139.803990,Power
Energy and Industry,CA,Other,Geothermal,2022-Q4,175.304828,Power
Energy and Industry,CA,Other,Geothermal,2023-Q1,141.654794,Power
Energy and Industry,CA,Other,Geothermal,2023-Q2,38.853886,Power
Energy and Industry,CA,Other,Geothermal,2023-Q3,25.902591,Power
Energy and Industry,CA,Other,Landfill Gas,2018-Q1,0.559946,Power
Energy and Industry,CA,Other,Landfill Gas,2018-Q2,0.559946,Power
Energy and Industry,CA,Other,Landfill Gas,2021-Q4,0.180825,Power
Energy and Industry,CA,Other,Landfill Gas,2022-Q1,0.542476,Power
Energy and Industry,CA,Other,Landfill Gas,2022-Q2,0.542476,Power
Energy and Industry,CA,Other,Other Waste Biomass,2018-Q1,43.245336,Power
Energy and Industry,CA,Other,Other Waste Biomass,2018-Q2,46.436471,Power
Energy and Industry,CA,Other,Other Waste Biomass,2018-Q3,48.032039,Power
Energy and Industry,CA,Other,Other Waste Biomass,2018-Q4,58.802856,Power
Energy and Industry,CA,Other,Other Waste Biomass,2019-Q1,56.822199,Power
Energy and Industry,CA,Other,Other Waste Biomass,2019-Q2,43.067306,Power
Energy and Industry,CA,Other,Other Waste Biomass,2019-Q3,17.128908,Power
Energy and Industry,CA,Other,Other Waste Biomass,2019-Q4,17.909628,Power
Energy and Industry,CA,Other,Other Waste Biomass,2020-Q1,15.263531,Power
Energy and Industry,CA,Other,Other Waste Biomass,2020-Q2,14.715018,Power
Energy and Industry,CA,Other,Other Waste Biomass,2020-Q3,7.808730,Power
Energy and Industry,CA,Other,Other Waste Biomass,2020-Q4,7.541163,Power
Energy and Industry,CA,Other,Other Waste Biomass,2021-Q1,6.922308,Power
Energy and Industry,CA,Other,Other Waste Biomass,2021-Q2,4.233435,Power
Energy and Industry,CA,Other,Other Waste Biomass,2021-Q3,2.561195,Power
Energy and Industry,CA,Other,Other Waste Biomass,2021-Q4,3.176239,Power
Energy and Industry,CA,Other,Other Waste Biomass,2022-Q1,23.196955,Power
Energy and Industry,CA,Other,Other Waste Biomass,2022-Q2,2.842561,Power
Energy and Industry,CA,Other,Other Waste Biomass,2022-Q3,2.175204,Power
Energy and Industry,CA,Other,Other Waste Biomass,2022-Q4,2.175204,Power
Energy and Industry,CA,Other,Other Waste Biomass,2023-Q1,2.175204,Power
Energy and Industry,CA,Other,Other Waste Biomass,2023-Q2,2.283996,Power
Energy and Industry,CA,Other,Other Waste Biomass,2023-Q3,1.470837,Power
Energy and Industry,CA,Other,Other Waste Biomass,2023-Q4,1.580860,Power
Energy and Industry,CA,Other,Other Waste Biomass,2024-Q1,1.580860,Power
Energy and Industry,CA,Other,Other Waste Biomass,2024-Q2,1.580860,Power
Energy and Industry,CA,Other,Other Waste Biomass,2024-Q3,1.580860,Power
Energy and Industry,CA,Other,Other Waste Biomass,2024-Q4,1.053907,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2018-Q1,33.238001,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2018-Q2,9.701307,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2020-Q1,2.725192,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2020-Q2,4.087787,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2020-Q3,4.087787,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2020-Q4,4.087787,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2021-Q1,4.087787,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2021-Q2,4.087787,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2021-Q3,2.725192,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2024-Q2,3.256127,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2024-Q3,4.884190,Power
Energy and Industry,CA,Other,Wood/Wood Waste Biomass,2024-Q4,4.884190,Power
Energy and Industry,CA,SAF,HEFA,2022-Q1,310.983391,Transport
Energy and Industry,CA,SAF,HEFA,2022-Q2,314.438762,Transport
Energy and Industry,CA,SAF,HEFA,2022-Q3,317.894133,Transport
Energy and Industry,CA,SAF,HEFA,2022-Q4,317.894133,Transport
Energy and Industry,CA,SAF,HEFA,2023-Q1,310.983391,Transport
Energy and Industry,CA,SAF,HEFA,2023-Q2,314.438762,Transport
Energy and Industry,CA,SAF,HEFA,2023-Q3,317.894133,Transport
Energy and Industry,CA,SAF,HEFA,2023-Q4,317.894133,Transport
Energy and Industry,CA,SAF,HEFA,2024-Q1,314.438762,Transport
Energy and Industry,CA,SAF,HEFA,2024-Q2,3.455371,Transport
Energy and Industry,CA,SAF,Unknown,2023-Q1,133.554638,Transport
Energy and Industry,CA,SAF,Unknown,2023-Q2,176.137276,Transport
Energy and Industry,CA,SAF,Unknown,2023-Q3,178.072850,Transport
Energy and Industry,CA,SAF,Unknown,2023-Q4,178.072850,Transport
Energy and Industry,CA,SAF,Unknown,2024-Q1,176.137276,Transport
Energy and Industry,CA,SAF,Unknown,2024-Q2,176.137276,Transport
Energy and Industry,CA,SAF,Unknown,2024-Q3,178.072850,Transport
Energy and Industry,CA,SAF,Unknown,2024-Q4,178.072850,Transport
Energy and Industry,CA,Solar,Solar Photovoltaic,2018-Q1,301.738693,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2018-Q2,483.475963,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2018-Q3,548.408064,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2018-Q4,339.617991,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2019-Q1,349.505815,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2019-Q2,465.904528,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2019-Q3,479.829276,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2019-Q4,290.994157,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2020-Q1,591.405459,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2020-Q2,687.304349,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2020-Q3,873.916923,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2020-Q4,881.230522,Power
Energy and Industry,CA,Solar,Solar Photovoltaic,2021-Q1,552.562925,Power
